Gene_names,Fold.Change,pvalue
Idh2,2.704557319,0.010111042
Cecr5,4.673394009,0.010297058
Atp5i,2.091023985,0.010350461
Ict1,3.766870706,0.010392287
Oxct1,4.824090652,0.010429247
Dhrs4,3.477027343,0.010439997
Mrps18b,1.649398848,0.010670853
Hsp90ab1,-1.619642681,0.01069531
Fdx1,4.670656302,0.010779506
Idh3a,3.179423985,0.010839102
Ndufa3,2.188782181,0.011063237
Ndufb10,5.939680648,0.011171779
Mrps34,6.005048404,0.01119171
Hspb6,5.387470706,0.011296158
Etfb,3.463357319,0.011301314
Dtymk,3.310756302,0.01130185
Grsf1,3.969227343,0.011389225
Mybpc3,2.887057319,0.011430576
Hspd1,5.565723985,0.011482821
Fh,3.972457319,0.011614048
Hsdl2,5.485947315,0.011979487
Tufm,5.390890652,0.012104002
,2.587382181,0.012328615
Hhatl,6.083821707,0.012558172
Mrpl12,4.561094009,0.012936469
Chchd3,2.814923985,0.01307744
Mrpl37,3.866056302,0.01346622
Afg3l2,6.834513981,0.013520094
Ndufv1,2.541123985,0.014423575
Coq6,5.704780648,0.014729385
Uqcrc1,1.622557319,0.014965172
Sdha,2.506990652,0.014970933
Pccb,5.916947315,0.015320858
Opa1,2.545415514,0.015328245
Sirt3,4.204780648,0.015424429
Cpt2,7.271260676,0.015536877
Ndufa9,2.802523985,0.015674321
Casq2,-1.927176015,0.015788941
Mrps9,3.761594009,0.016208384
Fam213b,5.204180648,0.016239442
Phb2,3.375190652,0.016331497
Mterf2,4.722594009,0.01641385
Mrpl47,6.104620706,0.016939172
Vwa8,7.127257319,0.016997735
Adck3,6.757297427,0.017330824
,-0.996642681,0.01736324
Atp5h,3.980890652,0.017409504
Uqcrfs1,3.043990652,0.01756012
Ndufa13,6.876947315,0.017798855
Lama2,2.554457319,0.017976199
Bcat2,8.093713981,0.018292701
Fam210a,4.520655019,0.018616313
Hadh,2.343757319,0.018687211
Col4a1,1.969198848,0.018720449
Lamc1,5.337715514,0.018841325
Pfkm,4.359605019,0.018987483
Pdha1,3.499657319,0.019266948
Sqrdl,4.060690652,0.019284328
Jup,-2.498076015,0.019870751
Atp5j2,2.267490652,0.020112013
C1qc,-1.480042681,0.02016978
Mrpl24,4.666094009,0.020398299
Psma5,-4.825146027,0.02040009
Lrpprc,7.760613981,0.020928688
Mpc2,2.527723985,0.02118374
Lamb2,3.361823985,0.021513992
Lace1,5.56368076,0.021759055
,-0.905776015,0.022032519
Trap1,5.402157319,0.022070511
Ndufc2,5.14695504,0.022254864
Nudt9,4.436006302,0.022603292
Hibch,2.519657319,0.022930506
Rps3,3.308274124,0.023080606
Nalcn,-1.860642681,0.023196769
Hspg2,3.039582181,0.023208418
Cox5a,6.942747315,0.023501386
Iscu,-1.214642681,0.023526512
,-1.076609348,0.023532635
Ckmt2,4.035590652,0.023644504
Echs1,3.072557319,0.023672991
Ambp,-1.393609348,0.023752784
Ivd,3.587990652,0.024042841
Ndufa2,6.266780648,0.024124777
C3,-1.475376015,0.024801948
Mp68,5.684447315,0.025811692
Acot9;Acot10,-2.708351152,0.026155236
Suclg1,2.992023985,0.026645793
Jph2,3.176206302,0.02702903
Pc,7.412147315,0.027131047
Cox7c,4.375588374,0.027321906
Acsf3,6.557347315,0.027621582
Slc25a20,1.423090652,0.027628525
Ndufb9,4.804057319,0.027958806
Bckdk,-1.643909348,0.0282369
Ahsg,-1.068342681,0.02836427
Prodh,3.350809608,0.028378707
,-0.973009348,0.028475176
,-1.011076015,0.029771333
Nfu1,3.463306302,0.030466939
Cacna2d1,3.875094009,0.030538523
Qil1,5.921447315,0.030965034
,-1.820009348,0.031074589
Rpl3l,-5.62313669,0.031122083
Eci2,3.128257319,0.031252286
Dlat,4.083490652,0.031403444
D10Jhu81e,3.897123985,0.031451121
Hp,-2.080342681,0.031502692
Sec31b,6.470927343,0.03204865
,-0.941509348,0.032797222
Ndufs5,2.904515514,0.033017076
Hnrnpa1,3.679321707,0.034324333
Cenpv,4.793320706,0.034814291
Nid1,3.277898848,0.035940237
Ndufs3,3.209923985,0.036584472
Ethe1,3.937547315,0.036721071
Ighg;Igh-1a,-1.121309348,0.036909459
Myh6,2.288223985,0.03718884
Ears2,2.975694009,0.037392765
Dld,2.267123985,0.037712306
Crat,5.659480648,0.038206314
Atp1a2;Atp1a3,5.287021707,0.038839416
Opa3,4.292567333,0.038947106
Tmem143,3.722280648,0.039106948
Bckdhb,4.829347315,0.0392475
Hist1h4a,5.255290679,0.040785537
Eef2,-4.576179361,0.041340569
Zadh2,3.755313981,0.042291873
,3.491180648,0.043177419
Fundc2,-2.403909348,0.04356111
Acss1,4.621147427,0.044265068
Gm5571,-1.360609348,0.044407807
Cp,-1.229976015,0.044581351
Gc,-1.434809348,0.045644725
,-1.056342681,0.045722142
,-1.233209348,0.045926915
Hspa9,3.325757319,0.046456018
Sprr1a,-5.034481623,0.047861204
,-1.227042681,0.047987942
,-1.300124318,0.048189614
Bckdha,6.109347315,0.048293992
,-1.128042681,0.049977101
Aldh4a1,4.894590652,0.050177817
Rpl32,4.861580648,0.05083603
Mlf2,3.953857345,0.051764738
Ighv1-61,-1.402709348,0.053645136
Mdh2,3.328357319,0.055830336
Obscn,5.729423985,0.057132455
Mrps5,3.758680648,0.05762143
Spp2,-1.341815984,0.060654989
